"CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","HOUSING_PSA","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New Georeferenced Column"
"310774721","122","STATEN ISLAND","08/01/2023","12:00:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","FRONT OF","PETIT LARCENY","(null)","PATROL BORO STATEN ISLAND","349","LARCENY,PETIT OF LICENSE PLATE","RESIDENCE-HOUSE","08/06/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","BLACK","M","944441","139620","40.549821","-74.143247","(40.549821, -74.143247)","POINT (-74.143247 40.549821)"
"303496532","1","MANHATTAN","08/01/2023","11:00:00","08/01/2023","15:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","OPPOSITE OF","SEX CRIMES","(null)","PATROL BORO MAN SOUTH","175","SEXUAL ABUSE 3,2","PARK/PLAYGROUND","03/16/2025","(null)","(null)","(null)","(null)",,"25-44","BLACK","M","982381","201750","40.72044188847","-74.00674397419","(40.7204418884676, -74.0067439741913)","POINT (-74.0067439741913 40.7204418884676)"
"312701522","66","BROOKLYN","08/01/2023","00:00:00","02/28/2024","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","PATROL BORO BKLYN SOUTH","157","RAPE 1","HOMELESS SHELTER","09/10/2025","(null)","UNKNOWN","WHITE HISPANIC","M",,"<18","WHITE HISPANIC","F","986764","167283","40.62583754528","-73.99094489423","(40.6258375452829, -73.9909448942322)","POINT (-73.9909448942322 40.6258375452829)"
"310496302","20","MANHATTAN","08/01/2023","14:00:00","07/27/2025","11:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO MAN NORTH","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","07/31/2025","(null)","UNKNOWN","ASIAN / PACIFIC ISLANDER","M",,"25-44","ASIAN / PACIFIC ISLANDER","M","987084","220738","40.772561","-73.989768","(40.772561, -73.989768)","POINT (-73.989768 40.772561)"
"300951727","62","BROOKLYN","08/01/2023","15:00:00","02/11/2025","22:33:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","361","MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","(null)","PATROL BORO BKLYN SOUTH","639","AGGRAVATED HARASSMENT 2","RESIDENCE - APT. HOUSE","02/11/2025","(null)","UNKNOWN","UNKNOWN","U",,"25-44","WHITE HISPANIC","F","986727","162692","40.613236","-73.991079","(40.613236, -73.991079)","POINT (-73.991079 40.613236)"
"309331325","13","MANHATTAN","08/01/2023","11:00:00","08/15/2023","11:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO MAN SOUTH","432","LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED","RESIDENCE - APT. HOUSE","07/09/2025","(null)","(null)","(null)","(null)",,"65+","UNKNOWN","F","988116","210687","40.744972","-73.986046","(40.744972, -73.986046)","POINT (-73.986046 40.744972)"
"299242012","88","BROOKLYN","08/01/2023","00:01:00","12/30/2024","19:00:00","COMPLETED","(null)","527","2","N.Y. HOUSING POLICE","104","FELONY","INSIDE","RAPE","(null)","PATROL BORO BKLYN NORTH","153","RAPE 3","RESIDENCE - PUBLIC HOUSING","01/10/2025","(null)","25-44","UNKNOWN","M",,"<18","BLACK","F","995266","190743","40.6902236042","-73.960278586","(40.6902236041959, -73.9602785860011)","POINT (-73.9602785860011 40.6902236041959)"
"307359908","70","BROOKLYN","08/01/2023","23:00:00","08/01/2023","23:45:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","106","FELONY","INSIDE","FELONY ASSAULT","(null)","PATROL BORO BKLYN SOUTH","105","STRANGULATION 1ST","RESIDENCE - APT. HOUSE","06/01/2025","(null)","25-44","BLACK","M",,"25-44","BLACK","F","996472","173468","40.642807","-73.95596","(40.642807, -73.95596)","POINT (-73.95596 40.642807)"
"304253644","23","MANHATTAN","08/01/2023","00:01:00","08/01/2023","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","PATROL BORO MAN NORTH","153","RAPE 3","RESIDENCE - APT. HOUSE","04/05/2025","(null)","45-64","WHITE HISPANIC","M",,"45-64","WHITE HISPANIC","F","998751","226901","40.78946329956","-73.94763400394","(40.7894632995555, -73.9476340039424)","POINT (-73.9476340039424 40.7894632995555)"
"307516592","30","MANHATTAN","08/01/2023","12:00:00","08/12/2024","12:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","340","MISDEMEANOR","INSIDE","FRAUDS","(null)","PATROL BORO MAN NORTH","718","FRAUD,UNCLASSIFIED-MISDEMEANOR","RESIDENCE - APT. HOUSE","06/03/2025","(null)","UNKNOWN","UNKNOWN","U",,"65+","BLACK","F","999737","239858","40.825027","-73.944042","(40.825027, -73.944042)","POINT (-73.944042 40.825027)"
